Ticker,Cambio(%) 1_dia,Fecha
PBCT,-1,22-dic-20
PCAR,-1,22-dic-20
PEAK,1,22-dic-20
PEG,-1,22-dic-20
PEP,-1,22-dic-20
PFE,-1,22-dic-20
PFG,-1,22-dic-20
PG,-1,22-dic-20
PGR,1,22-dic-20
PH,-1,22-dic-20
PHM,1,22-dic-20
PKG,1,22-dic-20
PKI,-1,22-dic-20
PLD,1,22-dic-20
PM,-1,22-dic-20
PNC,-1,22-dic-20
PNR,1,22-dic-20
PNW,1,22-dic-20
POOL,1,22-dic-20
PPG,-1,22-dic-20
PPL,-1,22-dic-20
PRGO,-1,22-dic-20
PRU,-1,22-dic-20
PSA,1,22-dic-20
PSX,1,22-dic-20
PVH,-1,22-dic-20
PWR,1,22-dic-20
PXD,-1,22-dic-20
PYPL,1,22-dic-20
QCOM,-1,22-dic-20
QRVO,1,22-dic-20
RCL,-1,22-dic-20
RE,-1,22-dic-20
REG,0,22-dic-20
REGN,-1,22-dic-20
RF,-1,22-dic-20
RHI,1,22-dic-20
RJF,-1,22-dic-20
RL,-1,22-dic-20
RMD,-1,22-dic-20
ROK,-1,22-dic-20
ROL,1,22-dic-20
ROP,-1,22-dic-20
ROST,-1,22-dic-20
RSG,1,22-dic-20
RTX,-1,22-dic-20
SBAC,1,22-dic-20
SBUX,-1,22-dic-20
SCHW,-1,22-dic-20
SEE,-1,22-dic-20
SHW,1,22-dic-20
SIVB,1,22-dic-20
SJM,1,22-dic-20
SLB,-1,22-dic-20
SLG,1,22-dic-20
SNA,-1,22-dic-20
SNPS,1,22-dic-20
SO,-1,22-dic-20
SPG,1,22-dic-20
SPGI,-1,22-dic-20
SRE,-1,22-dic-20
STE,-1,22-dic-20
STT,-1,22-dic-20
STX,-1,22-dic-20
STZ,-1,22-dic-20
SWK,-1,22-dic-20
SWKS,1,22-dic-20
SYF,-1,22-dic-20
SYK,1,22-dic-20
SYY,-1,22-dic-20
T,-1,22-dic-20
TAP,-1,22-dic-20
TDG,-1,22-dic-20
TDY,1,22-dic-20
TEL,-1,22-dic-20
TER,-1,22-dic-20
TFC,-1,22-dic-20
TFX,-1,22-dic-20
TGT,1,22-dic-20
TIF,1,22-dic-20
TJX,-1,22-dic-20
TMO,1,22-dic-20
TMUS,1,22-dic-20
TPR,1,22-dic-20
TROW,-1,22-dic-20
TRV,-1,22-dic-20
TSCO,1,22-dic-20
TSN,-1,22-dic-20
TT,1,22-dic-20
TTWO,1,22-dic-20
TWTR,1,22-dic-20
TXN,1,22-dic-20
TXT,-1,22-dic-20
TYL,1,22-dic-20
UA,-1,22-dic-20
UAA,-1,22-dic-20
UAL,-1,22-dic-20
UDR,1,22-dic-20
UHS,-1,22-dic-20
ULTA,-1,22-dic-20
UNH,-1,22-dic-20
UNM,-1,22-dic-20
UNP,-1,22-dic-20
UPS,1,22-dic-20
URI,-1,22-dic-20
USB,1,22-dic-20
V,-1,22-dic-20
VAR,-1,22-dic-20
VFC,-1,22-dic-20
VIAC,1,22-dic-20
VLO,-1,22-dic-20
VMC,-1,22-dic-20
VNO,-1,22-dic-20
VNT,-1,22-dic-20
VRSK,-1,22-dic-20
VRSN,1,22-dic-20
VRTX,1,22-dic-20
VTR,1,22-dic-20
VZ,-1,22-dic-20
WAB,-1,22-dic-20
WAT,-1,22-dic-20
WBA,-1,22-dic-20
WDC,-1,22-dic-20
WEC,-1,22-dic-20
WELL,1,22-dic-20
WFC,-1,22-dic-20
WHR,1,22-dic-20
WLTW,1,22-dic-20
WM,1,22-dic-20
WMB,-1,22-dic-20
WMT,-1,22-dic-20
WRB,-1,22-dic-20
WRK,-1,22-dic-20
WST,1,22-dic-20
WU,-1,22-dic-20
WY,1,22-dic-20
WYNN,1,22-dic-20
XEL,-1,22-dic-20
XLNX,-1,22-dic-20
XOM,-1,22-dic-20
XRAY,-1,22-dic-20
XRX,0,22-dic-20
XYL,-1,22-dic-20
YUM,-1,22-dic-20
ZBH,1,22-dic-20
ZBRA,1,22-dic-20
ZION,-1,22-dic-20
ZTS,1,22-dic-20
AAPL,1,22-dic-20
ADBE,1,22-dic-20
ADI,1,22-dic-20
ADP,-1,22-dic-20
ADSK,1,22-dic-20
ALGN,1,22-dic-20
ALXN,-1,22-dic-20
AMAT,-1,22-dic-20
AMD,-1,22-dic-20
AMGN,-1,22-dic-20
AMZN,1,22-dic-20
ANSS,1,22-dic-20
ASML,1,22-dic-20
ATVI,1,22-dic-20
AVGO,1,22-dic-20
BIDU,-1,22-dic-20
BIIB,-1,22-dic-20
BKNG,-1,22-dic-20
BMRN,1,22-dic-20
CDNS,1,22-dic-20
CDW,-1,22-dic-20
CERN,1,22-dic-20
CHKP,1,22-dic-20
CHTR,-1,22-dic-20
CMCSA,-1,22-dic-20
COST,-1,22-dic-20
CPRT,1,22-dic-20
CSCO,-1,22-dic-20
CSX,-1,22-dic-20
CTAS,1,22-dic-20
CTSH,1,22-dic-20
CTXS,1,22-dic-20
DLTR,-1,22-dic-20
DOCU,1,22-dic-20
DXCM,1,22-dic-20
EA,-1,22-dic-20
EBAY,1,22-dic-20
EXC,1,22-dic-20
EXPE,-1,22-dic-20
FAST,-1,22-dic-20
